,C,BAC,JPM,S&P
2/21/1996,102.7003,18.4063,23.0833,648.1
2/22/1996,106.7696,18.5938,23.5417,658.86
2/23/1996,108.3198,18.6875,24.1667,659.08
2/26/1996,107.5447,18.9063,23.375,650.46
2/27/1996,106.9634,18.75,23.5833,647.24
2/28/1996,107.1571,18.6875,23.9167,644.75
2/29/1996,103.6692,18.4375,23.875,640.43
3/1/1996,105.8007,18.8125,24.2083,644.37
3/4/1996,106.382,19.0313,24.2917,650.81
3/5/1996,104.8318,19.625,24.0833,655.79
3/6/1996,104.8318,19.4688,23.5833,652
3/7/1996,104.2505,19.3438,23.1667,653.65
3/8/1996,98.0497,18.5938,22.125,633.5
3/11/1996,97.0809,18.5625,21.9167,640.02
3/12/1996,94.9494,18.4063,21.875,637.09
